INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Food and food products,4,2003,UTILISATION,79.4
Food and food products,1,2004,UTILISATION,79.5
Food and food products,2,2004,UTILISATION,80.5
Food and food products,3,2004,UTILISATION,81.2
Food and food products,4,2004,UTILISATION,83.4
Food and food products,1,2005,UTILISATION,82.3
Food and food products,2,2005,UTILISATION,83.6
Food and food products,3,2005,UTILISATION,83.8
Food and food products,4,2005,UTILISATION,87.4
Food and food products,1,2006,UTILISATION,82.1
Food and food products,2,2006,UTILISATION,84.0
Food and food products,3,2006,UTILISATION,83.4
Food and food products,4,2006,UTILISATION,85.4
Food and food products,1,2007,UTILISATION,82.5
Food and food products,2,2007,UTILISATION,84.3
Food and food products,3,2007,UTILISATION,81.7
Food and food products,4,2007,UTILISATION,83.5
Food and food products,1,2008,UTILISATION,81.0
Food and food products,2,2008,UTILISATION,81.2
Food and food products,3,2008,UTILISATION,82.0
Food and food products,4,2008,UTILISATION,82.4
Food and food products,1,2009,UTILISATION,79.3
Food and food products,2,2009,UTILISATION,82.1
Food and food products,3,2009,UTILISATION,82.6
Food and food products,4,2009,UTILISATION,84.5
Food and food products,1,2010,UTILISATION,80.6
Food and food products,2,2010,UTILISATION,81.8
Food and food products,3,2010,UTILISATION,82.4
Food and food products,4,2010,UTILISATION,82.3
Food and food products,1,2011,UTILISATION,79.8
Food and food products,2,2011,UTILISATION,81.9
Food and food products,3,2011,UTILISATION,83.4
Food and food products,4,2011,UTILISATION,84.6
Food and food products,1,2012,UTILISATION,81.2
Food and food products,2,2012,UTILISATION,84.0
Food and food products,3,2012,UTILISATION,82.5
Food and food products,4,2012,UTILISATION,84.9
Food and food products,1,2013,UTILISATION,77.4
Food and food products,2,2013,UTILISATION,83.1
Food and food products,3,2013,UTILISATION,85.4
Food and food products,4,2013,UTILISATION,83.6
Food and food products,1,2014,UTILISATION,80.4
Food and food products,2,2014,UTILISATION,80.0
Food and food products,3,2014,UTILISATION,83.0
Food and food products,4,2014,UTILISATION,83.5
Food and food products,1,2015,UTILISATION,81.8
Food and food products,2,2015,UTILISATION,83.5
Food and food products,3,2015,UTILISATION,84.3
Food and food products,4,2015,UTILISATION,82.4
Food and food products,1,2016,UTILISATION,82.4
Food and food products,2,2016,UTILISATION,82.4
Food and food products,3,2016,UTILISATION,84.1
Food and food products,4,2016,UTILISATION,83.7
Food and food products,1,2017,UTILISATION,81.7
Food and food products,2,2017,UTILISATION,82.8
Food and food products,3,2017,UTILISATION,83.0
Food and food products,4,2017,UTILISATION,84.0
Food and food products,1,2018,UTILISATION,81.3
Food and food products,2,2018,UTILISATION,81.2
Food and food products,3,2018,UTILISATION,81.3
Food and food products,4,2018,UTILISATION,84.0
Food and food products,1,2019,UTILISATION,81.4
Food and food products,2,2019,UTILISATION,81.6
Food and food products,3,2019,UTILISATION,82.2
Food and food products,4,2019,UTILISATION,83.7
Food and food products,1,2020,UTILISATION,70.7
Food and food products,2,2020,UTILISATION,79.1
Food and food products,3,2020,UTILISATION,80.3
Food and food products,4,2020,UTILISATION,83.2
Food and food products,1,2021,UTILISATION,70.0
Food and food products,2,2021,UTILISATION,82.4
Food and food products,3,2021,UTILISATION,82.7
Food and food products,4,2021,UTILISATION,81.7
Beverages,4,2003,UTILISATION,72.9
Beverages,1,2004,UTILISATION,70.3
Beverages,2,2004,UTILISATION,72.8
Beverages,3,2004,UTILISATION,77.1
Beverages,4,2004,UTILISATION,80.0
Beverages,1,2005,UTILISATION,76.1
Beverages,2,2005,UTILISATION,77.5
Beverages,3,2005,UTILISATION,79.2
Beverages,4,2005,UTILISATION,83.0
Beverages,1,2006,UTILISATION,80.7
Beverages,2,2006,UTILISATION,80.7
Beverages,3,2006,UTILISATION,84.4
Beverages,4,2006,UTILISATION,81.2
Beverages,1,2007,UTILISATION,81.0
Beverages,2,2007,UTILISATION,81.9
Beverages,3,2007,UTILISATION,81.4
Beverages,4,2007,UTILISATION,82.6
Beverages,1,2008,UTILISATION,80.9
Beverages,2,2008,UTILISATION,79.4
Beverages,3,2008,UTILISATION,82.3
Beverages,4,2008,UTILISATION,82.6
Beverages,1,2009,UTILISATION,77.9
Beverages,2,2009,UTILISATION,76.4
Beverages,3,2009,UTILISATION,78.3
Beverages,4,2009,UTILISATION,81.9
Beverages,1,2010,UTILISATION,76.9
Beverages,2,2010,UTILISATION,77.2
Beverages,3,2010,UTILISATION,76.0
Beverages,4,2010,UTILISATION,81.4
Beverages,1,2011,UTILISATION,78.8
