INDUSTRY,QUARTER,YEAR,CAUSE,VALUE_%
Food and food products,4,2003,RAW_MATERIAL_%,16.99
Food and food products,1,2004,RAW_MATERIAL_%,22.44
Food and food products,2,2004,RAW_MATERIAL_%,20.0
Food and food products,3,2004,RAW_MATERIAL_%,17.55
Food and food products,4,2004,RAW_MATERIAL_%,11.45
Food and food products,1,2005,RAW_MATERIAL_%,20.9
Food and food products,2,2005,RAW_MATERIAL_%,20.12
Food and food products,3,2005,RAW_MATERIAL_%,21.6
Food and food products,4,2005,RAW_MATERIAL_%,12.6
Food and food products,1,2006,RAW_MATERIAL_%,15.08
Food and food products,2,2006,RAW_MATERIAL_%,19.25
Food and food products,3,2006,RAW_MATERIAL_%,9.64
Food and food products,4,2006,RAW_MATERIAL_%,21.09
Food and food products,1,2007,RAW_MATERIAL_%,17.14
Food and food products,2,2007,RAW_MATERIAL_%,21.66
Food and food products,3,2007,RAW_MATERIAL_%,9.84
Food and food products,4,2007,RAW_MATERIAL_%,12.12
Food and food products,1,2008,RAW_MATERIAL_%,12.63
Food and food products,2,2008,RAW_MATERIAL_%,12.77
Food and food products,3,2008,RAW_MATERIAL_%,10.0
Food and food products,4,2008,RAW_MATERIAL_%,11.93
Food and food products,1,2009,RAW_MATERIAL_%,9.18
Food and food products,2,2009,RAW_MATERIAL_%,13.41
Food and food products,3,2009,RAW_MATERIAL_%,12.64
Food and food products,4,2009,RAW_MATERIAL_%,15.48
Food and food products,1,2010,RAW_MATERIAL_%,12.37
Food and food products,2,2010,RAW_MATERIAL_%,12.64
Food and food products,3,2010,RAW_MATERIAL_%,16.48
Food and food products,4,2010,RAW_MATERIAL_%,14.69
Food and food products,1,2011,RAW_MATERIAL_%,14.36
Food and food products,2,2011,RAW_MATERIAL_%,16.02
Food and food products,3,2011,RAW_MATERIAL_%,16.87
Food and food products,4,2011,RAW_MATERIAL_%,17.53
Food and food products,1,2012,RAW_MATERIAL_%,12.77
Food and food products,2,2012,RAW_MATERIAL_%,16.25
Food and food products,3,2012,RAW_MATERIAL_%,18.29
Food and food products,4,2012,RAW_MATERIAL_%,21.85
Food and food products,1,2013,RAW_MATERIAL_%,11.06
Food and food products,2,2013,RAW_MATERIAL_%,14.79
Food and food products,3,2013,RAW_MATERIAL_%,14.38
Food and food products,4,2013,RAW_MATERIAL_%,12.8
Food and food products,1,2014,RAW_MATERIAL_%,12.24
Food and food products,2,2014,RAW_MATERIAL_%,11.5
Food and food products,3,2014,RAW_MATERIAL_%,16.47
Food and food products,4,2014,RAW_MATERIAL_%,13.94
Food and food products,1,2015,RAW_MATERIAL_%,9.34
Food and food products,2,2015,RAW_MATERIAL_%,9.7
Food and food products,3,2015,RAW_MATERIAL_%,10.19
Food and food products,4,2015,RAW_MATERIAL_%,9.66
Food and food products,1,2016,RAW_MATERIAL_%,11.93
Food and food products,2,2016,RAW_MATERIAL_%,9.66
Food and food products,3,2016,RAW_MATERIAL_%,11.32
Food and food products,4,2016,RAW_MATERIAL_%,10.43
Food and food products,1,2017,RAW_MATERIAL_%,10.93
Food and food products,2,2017,RAW_MATERIAL_%,10.47
Food and food products,3,2017,RAW_MATERIAL_%,13.53
Food and food products,4,2017,RAW_MATERIAL_%,10.0
Food and food products,1,2018,RAW_MATERIAL_%,8.56
Food and food products,2,2018,RAW_MATERIAL_%,10.64
Food and food products,3,2018,RAW_MATERIAL_%,9.63
Food and food products,4,2018,RAW_MATERIAL_%,8.75
Food and food products,1,2019,RAW_MATERIAL_%,6.99
Food and food products,2,2019,RAW_MATERIAL_%,10.87
Food and food products,3,2019,RAW_MATERIAL_%,10.11
Food and food products,4,2019,RAW_MATERIAL_%,14.11
Food and food products,1,2020,RAW_MATERIAL_%,5.46
Food and food products,2,2020,RAW_MATERIAL_%,6.7
Food and food products,3,2020,RAW_MATERIAL_%,12.18
Food and food products,4,2020,RAW_MATERIAL_%,12.5
Food and food products,1,2021,RAW_MATERIAL_%,5.33
Food and food products,2,2021,RAW_MATERIAL_%,8.52
Food and food products,3,2021,RAW_MATERIAL_%,17.34
Food and food products,4,2021,RAW_MATERIAL_%,16.39
Beverages,4,2003,RAW_MATERIAL_%,3.69
Beverages,1,2004,RAW_MATERIAL_%,1.35
Beverages,2,2004,RAW_MATERIAL_%,0.37
Beverages,3,2004,RAW_MATERIAL_%,6.55
Beverages,4,2004,RAW_MATERIAL_%,7.0
Beverages,1,2005,RAW_MATERIAL_%,0.42
Beverages,2,2005,RAW_MATERIAL_%,0.44
Beverages,3,2005,RAW_MATERIAL_%,4.81
Beverages,4,2005,RAW_MATERIAL_%,2.94
Beverages,1,2006,RAW_MATERIAL_%,4.66
Beverages,2,2006,RAW_MATERIAL_%,5.18
Beverages,3,2006,RAW_MATERIAL_%,7.69
Beverages,4,2006,RAW_MATERIAL_%,26.6
Beverages,1,2007,RAW_MATERIAL_%,17.37
Beverages,2,2007,RAW_MATERIAL_%,11.05
Beverages,3,2007,RAW_MATERIAL_%,10.22
Beverages,4,2007,RAW_MATERIAL_%,18.97
Beverages,1,2008,RAW_MATERIAL_%,18.85
Beverages,2,2008,RAW_MATERIAL_%,15.53
Beverages,3,2008,RAW_MATERIAL_%,13.56
Beverages,4,2008,RAW_MATERIAL_%,26.44
Beverages,1,2009,RAW_MATERIAL_%,13.57
Beverages,2,2009,RAW_MATERIAL_%,13.56
Beverages,3,2009,RAW_MATERIAL_%,14.75
Beverages,4,2009,RAW_MATERIAL_%,21.55
Beverages,1,2010,RAW_MATERIAL_%,10.82
Beverages,2,2010,RAW_MATERIAL_%,13.16
Beverages,3,2010,RAW_MATERIAL_%,9.17
Beverages,4,2010,RAW_MATERIAL_%,17.2
Beverages,1,2011,RAW_MATERIAL_%,13.21
Beverages,2,2011,RAW_MATERIAL_%,7.39
Beverages,3,2011,RAW_MATERIAL_%,14.89
Beverages,4,2011,RAW_MATERIAL_%,13.87
Beverages,1,2012,RAW_MATERIAL_%,11.6
Beverages,2,2012,RAW_MATERIAL_%,10.33
Beverages,3,2012,RAW_MATERIAL_%,10.58
Beverages,4,2012,RAW_MATERIAL_%,15.15
Beverages,1,2013,RAW_MATERIAL_%,13.11
Beverages,2,2013,RAW_MATERIAL_%,9.04
Beverages,3,2013,RAW_MATERIAL_%,14.29
Beverages,4,2013,RAW_MATERIAL_%,11.68
Beverages,1,2014,RAW_MATERIAL_%,13.92
Beverages,2,2014,RAW_MATERIAL_%,15.52
Beverages,3,2014,RAW_MATERIAL_%,14.58
Beverages,4,2014,RAW_MATERIAL_%,15.71
Beverages,1,2015,RAW_MATERIAL_%,14.38
Beverages,2,2015,RAW_MATERIAL_%,11.63
Beverages,3,2015,RAW_MATERIAL_%,10.8
Beverages,4,2015,RAW_MATERIAL_%,8.55
Beverages,1,2016,RAW_MATERIAL_%,13.19
Beverages,2,2016,RAW_MATERIAL_%,13.79
Beverages,3,2016,RAW_MATERIAL_%,16.11
Beverages,4,2016,RAW_MATERIAL_%,17.65
Beverages,1,2017,RAW_MATERIAL_%,26.74
Beverages,2,2017,RAW_MATERIAL_%,23.23
Beverages,3,2017,RAW_MATERIAL_%,26.14
Beverages,4,2017,RAW_MATERIAL_%,11.29
Beverages,1,2018,RAW_MATERIAL_%,26.51
Beverages,2,2018,RAW_MATERIAL_%,22.84
Beverages,3,2018,RAW_MATERIAL_%,24.73
Beverages,4,2018,RAW_MATERIAL_%,21.74
Beverages,1,2019,RAW_MATERIAL_%,18.99
Beverages,2,2019,RAW_MATERIAL_%,17.75
Beverages,3,2019,RAW_MATERIAL_%,26.11
Beverages,4,2019,RAW_MATERIAL_%,16.82
Beverages,1,2020,RAW_MATERIAL_%,14.22
Beverages,2,2020,RAW_MATERIAL_%,8.5
Beverages,3,2020,RAW_MATERIAL_%,5.92
Beverages,4,2020,RAW_MATERIAL_%,12.69
Beverages,1,2021,RAW_MATERIAL_%,4.47
Beverages,2,2021,RAW_MATERIAL_%,22.35
Beverages,3,2021,RAW_MATERIAL_%,12.43
Beverages,4,2021,RAW_MATERIAL_%,11.32
Textiles,4,2003,RAW_MATERIAL_%,6.7
Textiles,1,2004,RAW_MATERIAL_%,6.67
Textiles,2,2004,RAW_MATERIAL_%,7.18
Textiles,3,2004,RAW_MATERIAL_%,11.8
Textiles,4,2004,RAW_MATERIAL_%,12.73
Textiles,1,2005,RAW_MATERIAL_%,12.21
Textiles,2,2005,RAW_MATERIAL_%,8.47
Textiles,3,2005,RAW_MATERIAL_%,7.82
Textiles,4,2005,RAW_MATERIAL_%,16.67
Textiles,1,2006,RAW_MATERIAL_%,10.39
Textiles,2,2006,RAW_MATERIAL_%,7.64
Textiles,3,2006,RAW_MATERIAL_%,7.35
Textiles,4,2006,RAW_MATERIAL_%,5.84
Textiles,1,2007,RAW_MATERIAL_%,8.7
Textiles,2,2007,RAW_MATERIAL_%,6.67
Textiles,3,2007,RAW_MATERIAL_%,8.07
Textiles,4,2007,RAW_MATERIAL_%,6.75
Textiles,1,2008,RAW_MATERIAL_%,7.49
Textiles,2,2008,RAW_MATERIAL_%,5.39
Textiles,3,2008,RAW_MATERIAL_%,6.77
Textiles,4,2008,RAW_MATERIAL_%,9.57
Textiles,1,2009,RAW_MATERIAL_%,6.59
Textiles,2,2009,RAW_MATERIAL_%,3.6
Textiles,3,2009,RAW_MATERIAL_%,4.91
Textiles,4,2009,RAW_MATERIAL_%,6.81
Textiles,1,2010,RAW_MATERIAL_%,12.54
Textiles,2,2010,RAW_MATERIAL_%,13.48
Textiles,3,2010,RAW_MATERIAL_%,7.88
Textiles,4,2010,RAW_MATERIAL_%,8.96
Textiles,1,2011,RAW_MATERIAL_%,10.75
Textiles,2,2011,RAW_MATERIAL_%,3.63
Textiles,3,2011,RAW_MATERIAL_%,3.3
Textiles,4,2011,RAW_MATERIAL_%,3.47
Textiles,1,2012,RAW_MATERIAL_%,3.55
Textiles,2,2012,RAW_MATERIAL_%,3.3
Textiles,3,2012,RAW_MATERIAL_%,2.03
Textiles,4,2012,RAW_MATERIAL_%,4.03
Textiles,1,2013,RAW_MATERIAL_%,5.56
Textiles,2,2013,RAW_MATERIAL_%,4.89
Textiles,3,2013,RAW_MATERIAL_%,3.53
Textiles,4,2013,RAW_MATERIAL_%,4.21
Textiles,1,2014,RAW_MATERIAL_%,3.88
Textiles,2,2014,RAW_MATERIAL_%,2.27
Textiles,3,2014,RAW_MATERIAL_%,1.6
Textiles,4,2014,RAW_MATERIAL_%,5.56
Textiles,1,2015,RAW_MATERIAL_%,4.96
Textiles,2,2015,RAW_MATERIAL_%,3.95
Textiles,3,2015,RAW_MATERIAL_%,3.75
Textiles,4,2015,RAW_MATERIAL_%,4.11
Textiles,1,2016,RAW_MATERIAL_%,3.97
Textiles,2,2016,RAW_MATERIAL_%,4.38
Textiles,3,2016,RAW_MATERIAL_%,5.35
Textiles,4,2016,RAW_MATERIAL_%,3.61
Textiles,1,2017,RAW_MATERIAL_%,5.59
Textiles,2,2017,RAW_MATERIAL_%,4.96
Textiles,3,2017,RAW_MATERIAL_%,4.89
Textiles,4,2017,RAW_MATERIAL_%,5.69
Textiles,1,2018,RAW_MATERIAL_%,4.91
Textiles,2,2018,RAW_MATERIAL_%,5.29
Textiles,3,2018,RAW_MATERIAL_%,5.95
Textiles,4,2018,RAW_MATERIAL_%,4.13
Textiles,1,2019,RAW_MATERIAL_%,3.72
Textiles,2,2019,RAW_MATERIAL_%,5.01
Textiles,3,2019,RAW_MATERIAL_%,5.31
Textiles,4,2019,RAW_MATERIAL_%,5.11
Textiles,1,2020,RAW_MATERIAL_%,5.0
Textiles,2,2020,RAW_MATERIAL_%,6.44
Textiles,3,2020,RAW_MATERIAL_%,7.25
Textiles,4,2020,RAW_MATERIAL_%,9.41
Textiles,1,2021,RAW_MATERIAL_%,10.66
Textiles,2,2021,RAW_MATERIAL_%,11.93
Textiles,3,2021,RAW_MATERIAL_%,9.5
Textiles,4,2021,RAW_MATERIAL_%,9.91
Wearing apparel,4,2003,RAW_MATERIAL_%,9.68
Wearing apparel,1,2004,RAW_MATERIAL_%,10.71
Wearing apparel,2,2004,RAW_MATERIAL_%,7.23
Wearing apparel,3,2004,RAW_MATERIAL_%,10.0
Wearing apparel,4,2004,RAW_MATERIAL_%,22.54
Wearing apparel,1,2005,RAW_MATERIAL_%,4.73
Wearing apparel,2,2005,RAW_MATERIAL_%,4.69
Wearing apparel,3,2005,RAW_MATERIAL_%,2.2
Wearing apparel,4,2005,RAW_MATERIAL_%,1.29
Wearing apparel,1,2006,RAW_MATERIAL_%,5.13
Wearing apparel,2,2006,RAW_MATERIAL_%,4.71
Wearing apparel,3,2006,RAW_MATERIAL_%,10.69
Wearing apparel,4,2006,RAW_MATERIAL_%,12.21
Wearing apparel,1,2007,RAW_MATERIAL_%,11.18
Wearing apparel,2,2007,RAW_MATERIAL_%,9.63
Wearing apparel,3,2007,RAW_MATERIAL_%,8.43
Wearing apparel,4,2007,RAW_MATERIAL_%,7.95
Wearing apparel,1,2008,RAW_MATERIAL_%,8.33
Wearing apparel,2,2008,RAW_MATERIAL_%,8.93
Wearing apparel,3,2008,RAW_MATERIAL_%,9.25
Wearing apparel,4,2008,RAW_MATERIAL_%,5.88
Wearing apparel,1,2009,RAW_MATERIAL_%,8.63
Wearing apparel,2,2009,RAW_MATERIAL_%,5.61
Wearing apparel,3,2009,RAW_MATERIAL_%,4.69
Wearing apparel,4,2009,RAW_MATERIAL_%,6.57
Wearing apparel,1,2010,RAW_MATERIAL_%,5.83
Wearing apparel,2,2010,RAW_MATERIAL_%,8.47
Wearing apparel,3,2010,RAW_MATERIAL_%,4.29
Wearing apparel,4,2010,RAW_MATERIAL_%,3.38
Wearing apparel,1,2011,RAW_MATERIAL_%,3.43
Wearing apparel,2,2011,RAW_MATERIAL_%,2.96
Wearing apparel,3,2011,RAW_MATERIAL_%,7.02
Wearing apparel,4,2011,RAW_MATERIAL_%,5.24
Wearing apparel,1,2012,RAW_MATERIAL_%,4.89
Wearing apparel,2,2012,RAW_MATERIAL_%,6.61
Wearing apparel,3,2012,RAW_MATERIAL_%,2.08
Wearing apparel,4,2012,RAW_MATERIAL_%,3.57
Wearing apparel,1,2013,RAW_MATERIAL_%,6.81
Wearing apparel,2,2013,RAW_MATERIAL_%,8.7
Wearing apparel,3,2013,RAW_MATERIAL_%,3.57
Wearing apparel,4,2013,RAW_MATERIAL_%,2.73
Wearing apparel,1,2014,RAW_MATERIAL_%,2.0
Wearing apparel,2,2014,RAW_MATERIAL_%,2.23
Wearing apparel,3,2014,RAW_MATERIAL_%,3.35
Wearing apparel,4,2014,RAW_MATERIAL_%,3.08
Wearing apparel,1,2015,RAW_MATERIAL_%,2.43
Wearing apparel,2,2015,RAW_MATERIAL_%,2.37
Wearing apparel,3,2015,RAW_MATERIAL_%,2.84
Wearing apparel,4,2015,RAW_MATERIAL_%,2.9
Wearing apparel,1,2016,RAW_MATERIAL_%,3.69
Wearing apparel,2,2016,RAW_MATERIAL_%,2.61
Wearing apparel,3,2016,RAW_MATERIAL_%,2.61
Wearing apparel,4,2016,RAW_MATERIAL_%,3.03
Wearing apparel,1,2017,RAW_MATERIAL_%,1.65
Wearing apparel,2,2017,RAW_MATERIAL_%,2.41
Wearing apparel,3,2017,RAW_MATERIAL_%,2.38
Wearing apparel,4,2017,RAW_MATERIAL_%,2.47
Wearing apparel,1,2018,RAW_MATERIAL_%,2.46
Wearing apparel,2,2018,RAW_MATERIAL_%,1.98
Wearing apparel,3,2018,RAW_MATERIAL_%,2.36
Wearing apparel,4,2018,RAW_MATERIAL_%,2.39
Wearing apparel,1,2019,RAW_MATERIAL_%,2.07
Wearing apparel,2,2019,RAW_MATERIAL_%,2.41
Wearing apparel,3,2019,RAW_MATERIAL_%,2.38
Wearing apparel,4,2019,RAW_MATERIAL_%,2.43
Wearing apparel,1,2020,RAW_MATERIAL_%,1.61
Wearing apparel,2,2020,RAW_MATERIAL_%,0.88
Wearing apparel,3,2020,RAW_MATERIAL_%,1.16
Wearing apparel,4,2020,RAW_MATERIAL_%,1.53
Wearing apparel,1,2021,RAW_MATERIAL_%,3.77
Wearing apparel,2,2021,RAW_MATERIAL_%,3.26
Wearing apparel,3,2021,RAW_MATERIAL_%,5.61
Wearing apparel,4,2021,RAW_MATERIAL_%,2.58
Leather,4,2003,RAW_MATERIAL_%,19.23
Leather,1,2004,RAW_MATERIAL_%,19.61
Leather,2,2004,RAW_MATERIAL_%,11.4
Leather,3,2004,RAW_MATERIAL_%,10.06
Leather,4,2004,RAW_MATERIAL_%,14.37
Leather,1,2005,RAW_MATERIAL_%,1.63
Leather,2,2005,RAW_MATERIAL_%,4.59
Leather,3,2005,RAW_MATERIAL_%,8.46
Leather,4,2005,RAW_MATERIAL_%,2.73
Leather,1,2006,RAW_MATERIAL_%,8.7
Leather,2,2006,RAW_MATERIAL_%,8.48
Leather,3,2006,RAW_MATERIAL_%,14.55
Leather,4,2006,RAW_MATERIAL_%,12.24
Leather,1,2007,RAW_MATERIAL_%,23.23
Leather,2,2007,RAW_MATERIAL_%,56.81
Leather,3,2007,RAW_MATERIAL_%,53.72
Leather,4,2007,RAW_MATERIAL_%,56.58
Leather,1,2008,RAW_MATERIAL_%,47.91
Leather,2,2008,RAW_MATERIAL_%,49.49
Leather,3,2008,RAW_MATERIAL_%,44.59
Leather,4,2008,RAW_MATERIAL_%,26.22
Leather,1,2009,RAW_MATERIAL_%,25.34
Leather,2,2009,RAW_MATERIAL_%,24.04
Leather,3,2009,RAW_MATERIAL_%,31.36
Leather,4,2009,RAW_MATERIAL_%,13.21
Leather,1,2010,RAW_MATERIAL_%,11.76
Leather,2,2010,RAW_MATERIAL_%,40.89
Leather,3,2010,RAW_MATERIAL_%,32.73
Leather,4,2010,RAW_MATERIAL_%,27.04
Leather,1,2011,RAW_MATERIAL_%,23.83
Leather,2,2011,RAW_MATERIAL_%,10.56
Leather,3,2011,RAW_MATERIAL_%,8.33
Leather,4,2011,RAW_MATERIAL_%,12.65
Leather,1,2012,RAW_MATERIAL_%,10.32
Leather,2,2012,RAW_MATERIAL_%,9.76
Leather,3,2012,RAW_MATERIAL_%,9.6
Leather,4,2012,RAW_MATERIAL_%,11.18
Leather,1,2013,RAW_MATERIAL_%,11.81
Leather,2,2013,RAW_MATERIAL_%,11.53
Leather,3,2013,RAW_MATERIAL_%,12.26
Leather,4,2013,RAW_MATERIAL_%,17.14
Leather,1,2014,RAW_MATERIAL_%,18.09
Leather,2,2014,RAW_MATERIAL_%,13.62
Leather,3,2014,RAW_MATERIAL_%,13.14
Leather,4,2014,RAW_MATERIAL_%,15.75
Leather,1,2015,RAW_MATERIAL_%,15.15
Leather,2,2015,RAW_MATERIAL_%,17.65
Leather,3,2015,RAW_MATERIAL_%,18.82
Leather,4,2015,RAW_MATERIAL_%,15.62
Leather,1,2016,RAW_MATERIAL_%,15.81
Leather,2,2016,RAW_MATERIAL_%,19.92
Leather,3,2016,RAW_MATERIAL_%,19.5
Leather,4,2016,RAW_MATERIAL_%,14.4
Leather,1,2017,RAW_MATERIAL_%,19.69
Leather,2,2017,RAW_MATERIAL_%,19.5
Leather,3,2017,RAW_MATERIAL_%,13.56
Leather,4,2017,RAW_MATERIAL_%,16.34
Leather,1,2018,RAW_MATERIAL_%,20.16
Leather,2,2018,RAW_MATERIAL_%,19.93
Leather,3,2018,RAW_MATERIAL_%,15.84
Leather,4,2018,RAW_MATERIAL_%,12.23
Leather,1,2019,RAW_MATERIAL_%,8.74
Leather,2,2019,RAW_MATERIAL_%,10.11
Leather,3,2019,RAW_MATERIAL_%,9.64
Leather,4,2019,RAW_MATERIAL_%,6.98
Leather,1,2020,RAW_MATERIAL_%,7.4
Leather,2,2020,RAW_MATERIAL_%,3.99
Leather,3,2020,RAW_MATERIAL_%,8.31
Leather,4,2020,RAW_MATERIAL_%,5.43
Leather,1,2021,RAW_MATERIAL_%,8.29
Leather,2,2021,RAW_MATERIAL_%,18.88
Leather,3,2021,RAW_MATERIAL_%,19.63
Leather,4,2021,RAW_MATERIAL_%,17.87
Footwear,4,2003,RAW_MATERIAL_%,14.44
Footwear,1,2004,RAW_MATERIAL_%,5.05
Footwear,2,2004,RAW_MATERIAL_%,11.76
Footwear,3,2004,RAW_MATERIAL_%,10.83
Footwear,4,2004,RAW_MATERIAL_%,0.0
Footwear,1,2005,RAW_MATERIAL_%,5.15
Footwear,2,2005,RAW_MATERIAL_%,6.36
Footwear,3,2005,RAW_MATERIAL_%,9.31
Footwear,4,2005,RAW_MATERIAL_%,18.45
Footwear,1,2006,RAW_MATERIAL_%,4.76
Footwear,2,2006,RAW_MATERIAL_%,10.57
Footwear,3,2006,RAW_MATERIAL_%,8.65
Footwear,4,2006,RAW_MATERIAL_%,13.13
Footwear,1,2007,RAW_MATERIAL_%,13.27
Footwear,2,2007,RAW_MATERIAL_%,16.3
Footwear,3,2007,RAW_MATERIAL_%,6.67
Footwear,4,2007,RAW_MATERIAL_%,5.36
Footwear,1,2008,RAW_MATERIAL_%,6.82
Footwear,2,2008,RAW_MATERIAL_%,7.23
Footwear,3,2008,RAW_MATERIAL_%,6.52
Footwear,4,2008,RAW_MATERIAL_%,3.08
Footwear,1,2009,RAW_MATERIAL_%,8.57
Footwear,2,2009,RAW_MATERIAL_%,0.0
Footwear,3,2009,RAW_MATERIAL_%,0.0
Footwear,4,2009,RAW_MATERIAL_%,0.0
Footwear,1,2010,RAW_MATERIAL_%,0.0
Footwear,2,2010,RAW_MATERIAL_%,14.93
Footwear,3,2010,RAW_MATERIAL_%,6.43
Footwear,4,2010,RAW_MATERIAL_%,12.5
Footwear,1,2011,RAW_MATERIAL_%,13.18
Footwear,2,2011,RAW_MATERIAL_%,18.26
Footwear,3,2011,RAW_MATERIAL_%,9.7
Footwear,4,2011,RAW_MATERIAL_%,11.82
Footwear,1,2012,RAW_MATERIAL_%,9.38
Footwear,2,2012,RAW_MATERIAL_%,15.25
Footwear,3,2012,RAW_MATERIAL_%,18.92
Footwear,4,2012,RAW_MATERIAL_%,8.49
Footwear,1,2013,RAW_MATERIAL_%,16.67
Footwear,2,2013,RAW_MATERIAL_%,23.53
Footwear,3,2013,RAW_MATERIAL_%,13.27
Footwear,4,2013,RAW_MATERIAL_%,15.79
Footwear,1,2014,RAW_MATERIAL_%,18.46
Footwear,2,2014,RAW_MATERIAL_%,15.48
Footwear,3,2014,RAW_MATERIAL_%,14.55
Footwear,4,2014,RAW_MATERIAL_%,14.39
Footwear,1,2015,RAW_MATERIAL_%,14.39
Footwear,2,2015,RAW_MATERIAL_%,12.68
Footwear,3,2015,RAW_MATERIAL_%,16.17
Footwear,4,2015,RAW_MATERIAL_%,8.12
Footwear,1,2016,RAW_MATERIAL_%,12.58
Footwear,2,2016,RAW_MATERIAL_%,15.08
Footwear,3,2016,RAW_MATERIAL_%,13.1
Footwear,4,2016,RAW_MATERIAL_%,10.14
Footwear,1,2017,RAW_MATERIAL_%,10.79
Footwear,2,2017,RAW_MATERIAL_%,10.05
Footwear,3,2017,RAW_MATERIAL_%,16.56
Footwear,4,2017,RAW_MATERIAL_%,13.38
Footwear,1,2018,RAW_MATERIAL_%,13.57
Footwear,2,2018,RAW_MATERIAL_%,10.2
Footwear,3,2018,RAW_MATERIAL_%,7.69
Footwear,4,2018,RAW_MATERIAL_%,7.02
Footwear,1,2019,RAW_MATERIAL_%,9.73
Footwear,2,2019,RAW_MATERIAL_%,22.29
Footwear,3,2019,RAW_MATERIAL_%,5.04
Footwear,4,2019,RAW_MATERIAL_%,8.94
Footwear,1,2020,RAW_MATERIAL_%,4.08
Footwear,2,2020,RAW_MATERIAL_%,2.41
Footwear,3,2020,RAW_MATERIAL_%,11.22
Footwear,4,2020,RAW_MATERIAL_%,8.94
Footwear,1,2021,RAW_MATERIAL_%,10.05
Footwear,2,2021,RAW_MATERIAL_%,13.66
Footwear,3,2021,RAW_MATERIAL_%,21.43
Footwear,4,2021,RAW_MATERIAL_%,23.38
Wood and products of wood,4,2003,RAW_MATERIAL_%,22.83
Wood and products of wood,1,2004,RAW_MATERIAL_%,12.5
Wood and products of wood,2,2004,RAW_MATERIAL_%,37.38
Wood and products of wood,3,2004,RAW_MATERIAL_%,25.23
Wood and products of wood,4,2004,RAW_MATERIAL_%,23.6
Wood and products of wood,1,2005,RAW_MATERIAL_%,16.81
Wood and products of wood,2,2005,RAW_MATERIAL_%,5.49
Wood and products of wood,3,2005,RAW_MATERIAL_%,42.5
Wood and products of wood,4,2005,RAW_MATERIAL_%,41.03
Wood and products of wood,1,2006,RAW_MATERIAL_%,33.96
Wood and products of wood,2,2006,RAW_MATERIAL_%,22.64
Wood and products of wood,3,2006,RAW_MATERIAL_%,38.0
Wood and products of wood,4,2006,RAW_MATERIAL_%,39.05
Wood and products of wood,1,2007,RAW_MATERIAL_%,47.41
Wood and products of wood,2,2007,RAW_MATERIAL_%,52.73
Wood and products of wood,3,2007,RAW_MATERIAL_%,60.94
Wood and products of wood,4,2007,RAW_MATERIAL_%,54.11
Wood and products of wood,1,2008,RAW_MATERIAL_%,53.4
Wood and products of wood,2,2008,RAW_MATERIAL_%,37.06
Wood and products of wood,3,2008,RAW_MATERIAL_%,34.85
Wood and products of wood,4,2008,RAW_MATERIAL_%,34.68
Wood and products of wood,1,2009,RAW_MATERIAL_%,12.26
Wood and products of wood,2,2009,RAW_MATERIAL_%,14.08
Wood and products of wood,3,2009,RAW_MATERIAL_%,16.6
Wood and products of wood,4,2009,RAW_MATERIAL_%,14.4
Wood and products of wood,1,2010,RAW_MATERIAL_%,10.73
Wood and products of wood,2,2010,RAW_MATERIAL_%,16.26
Wood and products of wood,3,2010,RAW_MATERIAL_%,9.26
Wood and products of wood,4,2010,RAW_MATERIAL_%,9.04
Wood and products of wood,1,2011,RAW_MATERIAL_%,11.92
Wood and products of wood,2,2011,RAW_MATERIAL_%,8.65
Wood and products of wood,3,2011,RAW_MATERIAL_%,11.23
Wood and products of wood,4,2011,RAW_MATERIAL_%,10.14
Wood and products of wood,1,2012,RAW_MATERIAL_%,6.28
Wood and products of wood,2,2012,RAW_MATERIAL_%,7.26
Wood and products of wood,3,2012,RAW_MATERIAL_%,8.19
Wood and products of wood,4,2012,RAW_MATERIAL_%,7.01
Wood and products of wood,1,2013,RAW_MATERIAL_%,6.18
Wood and products of wood,2,2013,RAW_MATERIAL_%,6.1
Wood and products of wood,3,2013,RAW_MATERIAL_%,5.92
Wood and products of wood,4,2013,RAW_MATERIAL_%,7.36
Wood and products of wood,1,2014,RAW_MATERIAL_%,9.14
Wood and products of wood,2,2014,RAW_MATERIAL_%,10.0
Wood and products of wood,3,2014,RAW_MATERIAL_%,11.54
Wood and products of wood,4,2014,RAW_MATERIAL_%,12.96
Wood and products of wood,1,2015,RAW_MATERIAL_%,11.96
Wood and products of wood,2,2015,RAW_MATERIAL_%,12.95
Wood and products of wood,3,2015,RAW_MATERIAL_%,14.69
Wood and products of wood,4,2015,RAW_MATERIAL_%,5.08
Wood and products of wood,1,2016,RAW_MATERIAL_%,6.7
Wood and products of wood,2,2016,RAW_MATERIAL_%,9.7
Wood and products of wood,3,2016,RAW_MATERIAL_%,7.14
Wood and products of wood,4,2016,RAW_MATERIAL_%,8.57
Wood and products of wood,1,2017,RAW_MATERIAL_%,9.93
Wood and products of wood,2,2017,RAW_MATERIAL_%,9.7
Wood and products of wood,3,2017,RAW_MATERIAL_%,7.45
Wood and products of wood,4,2017,RAW_MATERIAL_%,7.19
Wood and products of wood,1,2018,RAW_MATERIAL_%,8.02
Wood and products of wood,2,2018,RAW_MATERIAL_%,9.09
Wood and products of wood,3,2018,RAW_MATERIAL_%,7.82
