INDUSTRY_ID,NAME,ACTION_ID,NAME,QUARTER,YEAR,VALUE_IN_PERCENTAGES
301,"Food and food products",10,Utilisation,4,2003,79.4
301,"Food and food products",10,Utilisation,1,2004,79.5
301,"Food and food products",10,Utilisation,2,2004,80.5
301,"Food and food products",10,Utilisation,3,2004,81.2
301,"Food and food products",10,Utilisation,4,2004,83.4
301,"Food and food products",10,Utilisation,1,2005,82.3
301,"Food and food products",10,Utilisation,2,2005,83.6
301,"Food and food products",10,Utilisation,3,2005,83.8
301,"Food and food products",10,Utilisation,4,2005,87.4
301,"Food and food products",10,Utilisation,1,2006,82.1
301,"Food and food products",10,Utilisation,2,2006,84
301,"Food and food products",10,Utilisation,3,2006,83.4
301,"Food and food products",10,Utilisation,4,2006,85.4
301,"Food and food products",10,Utilisation,1,2007,82.5
301,"Food and food products",10,Utilisation,2,2007,84.3
301,"Food and food products",10,Utilisation,3,2007,81.7
301,"Food and food products",10,Utilisation,4,2007,83.5
301,"Food and food products",10,Utilisation,1,2008,81
301,"Food and food products",10,Utilisation,2,2008,81.2
301,"Food and food products",10,Utilisation,3,2008,82
301,"Food and food products",10,Utilisation,4,2008,82.4
301,"Food and food products",10,Utilisation,1,2009,79.3
301,"Food and food products",10,Utilisation,2,2009,82.1
301,"Food and food products",10,Utilisation,3,2009,82.6
301,"Food and food products",10,Utilisation,4,2009,84.5
301,"Food and food products",10,Utilisation,1,2010,80.6
301,"Food and food products",10,Utilisation,2,2010,81.8
301,"Food and food products",10,Utilisation,3,2010,82.4
301,"Food and food products",10,Utilisation,4,2010,82.3
301,"Food and food products",10,Utilisation,1,2011,79.8
301,"Food and food products",10,Utilisation,2,2011,81.9
301,"Food and food products",10,Utilisation,3,2011,83.4
301,"Food and food products",10,Utilisation,4,2011,84.6
301,"Food and food products",10,Utilisation,1,2012,81.2
301,"Food and food products",10,Utilisation,2,2012,84
301,"Food and food products",10,Utilisation,3,2012,82.5
301,"Food and food products",10,Utilisation,4,2012,84.9
301,"Food and food products",10,Utilisation,1,2013,77.4
301,"Food and food products",10,Utilisation,2,2013,83.1
301,"Food and food products",10,Utilisation,3,2013,85.4
301,"Food and food products",10,Utilisation,4,2013,83.6
301,"Food and food products",10,Utilisation,1,2014,80.4
301,"Food and food products",10,Utilisation,2,2014,80
301,"Food and food products",10,Utilisation,3,2014,83
301,"Food and food products",10,Utilisation,4,2014,83.5
301,"Food and food products",10,Utilisation,1,2015,81.8
301,"Food and food products",10,Utilisation,2,2015,83.5
301,"Food and food products",10,Utilisation,3,2015,84.3
301,"Food and food products",10,Utilisation,4,2015,82.4
301,"Food and food products",10,Utilisation,1,2016,82.4
301,"Food and food products",10,Utilisation,2,2016,82.4
301,"Food and food products",10,Utilisation,3,2016,84.1
301,"Food and food products",10,Utilisation,4,2016,83.7
301,"Food and food products",10,Utilisation,1,2017,81.7
301,"Food and food products",10,Utilisation,2,2017,82.8
301,"Food and food products",10,Utilisation,3,2017,83
301,"Food and food products",10,Utilisation,4,2017,84
301,"Food and food products",10,Utilisation,1,2018,81.3
301,"Food and food products",10,Utilisation,2,2018,81.2
301,"Food and food products",10,Utilisation,3,2018,81.3
301,"Food and food products",10,Utilisation,4,2018,84
301,"Food and food products",10,Utilisation,1,2019,81.4
301,"Food and food products",10,Utilisation,2,2019,81.6
301,"Food and food products",10,Utilisation,3,2019,82.2
301,"Food and food products",10,Utilisation,4,2019,83.7
301,"Food and food products",10,Utilisation,1,2020,70.7
301,"Food and food products",10,Utilisation,2,2020,79.1
301,"Food and food products",10,Utilisation,3,2020,80.3
301,"Food and food products",10,Utilisation,4,2020,83.2
301,"Food and food products",10,Utilisation,1,2021,70
301,"Food and food products",10,Utilisation,2,2021,82.4
301,"Food and food products",10,Utilisation,3,2021,82.7
301,"Food and food products",10,Utilisation,4,2021,81.7
301,"Food and food products",20,"Under-utilisation total",4,2003,20.6
301,"Food and food products",20,"Under-utilisation total",1,2004,20.5
301,"Food and food products",20,"Under-utilisation total",2,2004,19.5
