INDUSTRY,QUARTER,YEAR,UTILISATION,UNDER_UTILISATION
Food and food products,4,2003,79.4,20.6
Food and food products,1,2004,79.5,20.5
Food and food products,2,2004,80.5,19.5
Food and food products,3,2004,81.2,18.8
Food and food products,4,2004,83.4,16.6
Food and food products,1,2005,82.3,17.7
Food and food products,2,2005,83.6,16.4
Food and food products,3,2005,83.8,16.2
Food and food products,4,2005,87.4,12.7
Food and food products,1,2006,82.1,17.9
Food and food products,2,2006,84.0,16.1
Food and food products,3,2006,83.4,16.6
Food and food products,4,2006,85.4,14.7
Food and food products,1,2007,82.5,17.5
Food and food products,2,2007,84.3,15.7
Food and food products,3,2007,81.7,18.3
Food and food products,4,2007,83.5,16.5
Food and food products,1,2008,81.0,19.0
Food and food products,2,2008,81.2,18.8
Food and food products,3,2008,82.0,18.0
Food and food products,4,2008,82.4,17.6
Food and food products,1,2009,79.3,20.7
Food and food products,2,2009,82.1,17.9
Food and food products,3,2009,82.6,17.4
Food and food products,4,2009,84.5,15.5
Food and food products,1,2010,80.6,19.4
Food and food products,2,2010,81.8,18.2
Food and food products,3,2010,82.4,17.6
Food and food products,4,2010,82.3,17.7
Food and food products,1,2011,79.8,20.2
Food and food products,2,2011,81.9,18.1
Food and food products,3,2011,83.4,16.6
Food and food products,4,2011,84.6,15.4
Food and food products,1,2012,81.2,18.8
Food and food products,2,2012,84.0,16.0
Food and food products,3,2012,82.5,17.5
Food and food products,4,2012,84.9,15.1
Food and food products,1,2013,77.4,22.6
Food and food products,2,2013,83.1,16.9
Food and food products,3,2013,85.4,14.6
Food and food products,4,2013,83.6,16.4
Food and food products,1,2014,80.4,19.6
Food and food products,2,2014,80.0,20.0
Food and food products,3,2014,83.0,17.0
Food and food products,4,2014,83.5,16.5
Food and food products,1,2015,81.8,18.2
Food and food products,2,2015,83.5,16.5
Food and food products,3,2015,84.3,15.7
Food and food products,4,2015,82.4,17.6
Food and food products,1,2016,82.4,17.6
Food and food products,2,2016,82.4,17.6
Food and food products,3,2016,84.1,15.9
Food and food products,4,2016,83.7,16.3
Food and food products,1,2017,81.7,18.3
Food and food products,2,2017,82.8,17.2
Food and food products,3,2017,83.0,17.0
Food and food products,4,2017,84.0,16.0
Food and food products,1,2018,81.3,18.7
Food and food products,2,2018,81.2,18.8
Food and food products,3,2018,81.3,18.7
Food and food products,4,2018,84.0,16.0
Food and food products,1,2019,81.4,18.6
Food and food products,2,2019,81.6,18.4
Food and food products,3,2019,82.2,17.8
Food and food products,4,2019,83.7,16.3
Food and food products,1,2020,70.7,29.3
Food and food products,2,2020,79.1,20.9
Food and food products,3,2020,80.3,19.7
Food and food products,4,2020,83.2,16.8
Food and food products,1,2021,70.0,30.0
Food and food products,2,2021,82.4,17.6
Food and food products,3,2021,82.7,17.3
Food and food products,4,2021,81.7,18.3
Beverages,4,2003,72.9,27.1
Beverages,1,2004,70.3,29.7
Beverages,2,2004,72.8,27.2
Beverages,3,2004,77.1,22.9
Beverages,4,2004,80.0,20.0
Beverages,1,2005,76.1,23.9
Beverages,2,2005,77.5,22.5
Beverages,3,2005,79.2,20.8
Beverages,4,2005,83.0,17.0
Beverages,1,2006,80.7,19.3
Beverages,2,2006,80.7,19.3
Beverages,3,2006,84.4,15.6
Beverages,4,2006,81.2,18.8
Beverages,1,2007,81.0,19.0
Beverages,2,2007,81.9,18.1
Beverages,3,2007,81.4,18.6
Beverages,4,2007,82.6,17.4
Beverages,1,2008,80.9,19.1
Beverages,2,2008,79.4,20.6
Beverages,3,2008,82.3,17.7
Beverages,4,2008,82.6,17.4
Beverages,1,2009,77.9,22.1
Beverages,2,2009,76.4,23.6
Beverages,3,2009,78.3,21.7
Beverages,4,2009,81.9,18.1
Beverages,1,2010,76.9,23.1
Beverages,2,2010,77.2,22.8
Beverages,3,2010,76.0,24.0
Beverages,4,2010,81.4,18.6
Beverages,1,2011,78.8,21.2
Beverages,2,2011,79.7,20.3
Beverages,3,2011,81.2,18.8
Beverages,4,2011,82.7,17.3
Beverages,1,2012,81.9,18.1
Beverages,2,2012,81.6,18.4
Beverages,3,2012,81.1,18.9
Beverages,4,2012,83.5,16.5
Beverages,1,2013,81.7,18.3
Beverages,2,2013,81.2,18.8
Beverages,3,2013,83.2,16.8
Beverages,4,2013,86.3,13.7
Beverages,1,2014,84.2,15.8
Beverages,2,2014,82.6,17.4
Beverages,3,2014,85.6,14.4
Beverages,4,2014,86.0,14.0
Beverages,1,2015,84.7,15.3
Beverages,2,2015,82.8,17.2
Beverages,3,2015,82.4,17.6
Beverages,4,2015,88.3,11.7
Beverages,1,2016,85.6,14.4
Beverages,2,2016,85.5,14.5
Beverages,3,2016,85.1,14.9
Beverages,4,2016,88.1,11.9
Beverages,1,2017,82.8,17.2
Beverages,2,2017,84.5,15.5
Beverages,3,2017,84.7,15.3
Beverages,4,2017,87.6,12.4
Beverages,1,2018,83.4,16.6
Beverages,2,2018,83.8,16.2
Beverages,3,2018,81.4,18.6
Beverages,4,2018,88.5,11.5
Beverages,1,2019,84.2,15.8
Beverages,2,2019,83.1,16.9
Beverages,3,2019,84.3,15.7
Beverages,4,2019,89.3,10.7
Beverages,1,2020,78.2,21.8
Beverages,2,2020,35.3,64.7
Beverages,3,2020,57.8,42.2
Beverages,4,2020,86.6,13.4
Beverages,1,2021,75.4,24.6
Beverages,2,2021,82.1,17.9
Beverages,3,2021,82.3,17.7
Beverages,4,2021,84.1,15.9
Textiles,4,2003,79.1,20.9
Textiles,1,2004,80.5,19.5
Textiles,2,2004,81.9,18.1
Textiles,3,2004,82.2,17.8
Textiles,4,2004,78.0,22.0
Textiles,1,2005,78.7,21.3
Textiles,2,2005,81.1,18.9
Textiles,3,2005,82.2,17.9
Textiles,4,2005,86.8,13.2
Textiles,1,2006,84.6,15.4
Textiles,2,2006,85.6,14.4
