INDUSTRY,QUARTER,YEAR,RAW_MATERIAL_%,SKILLED_LABOUR_%,SEMI_AND_UNSKILLED LABOUR_%,INSUFFICIENT_DEMAND_%,OTHER_REASONS_%
Food and food products,4,2003,16.99,5.83,0.49,64.08,12.62
Food and food products,1,2004,22.44,6.34,0.49,57.56,13.17
Food and food products,2,2004,20.0,6.15,0.51,61.54,11.79
Food and food products,3,2004,17.55,7.45,2.13,62.23,10.64
Food and food products,4,2004,11.45,4.82,5.42,69.28,9.04
Food and food products,1,2005,20.9,4.52,1.69,65.54,7.34
Food and food products,2,2005,20.12,1.22,0.61,63.41,14.63
Food and food products,3,2005,21.6,3.7,1.23,61.73,11.73
Food and food products,4,2005,12.6,3.94,2.36,68.5,12.6
Food and food products,1,2006,15.08,2.79,1.12,51.4,29.61
Food and food products,2,2006,19.25,3.73,1.24,50.31,26.09
Food and food products,3,2006,9.64,4.22,1.2,63.25,22.29
Food and food products,4,2006,21.09,4.08,0.68,44.22,29.25
Food and food products,1,2007,17.14,5.71,0.57,57.71,18.86
Food and food products,2,2007,21.66,5.1,0.64,56.69,15.92
Food and food products,3,2007,9.84,3.28,0.55,41.53,45.36
Food and food products,4,2007,12.12,5.45,0.61,64.85,16.36
Food and food products,1,2008,12.63,4.74,1.05,60.0,21.58
Food and food products,2,2008,12.77,5.32,1.06,66.49,14.36
Food and food products,3,2008,10.0,4.44,0.56,71.11,13.89
Food and food products,4,2008,11.93,5.68,1.14,64.77,16.48
Food and food products,1,2009,9.18,9.18,0.97,53.14,27.54
Food and food products,2,2009,13.41,10.61,0.56,56.42,18.99
Food and food products,3,2009,12.64,12.64,0.57,58.05,16.09
Food and food products,4,2009,15.48,8.39,1.94,55.48,19.35
Food and food products,1,2010,12.37,7.73,1.55,62.89,15.46
Food and food products,2,2010,12.64,8.24,1.1,61.54,15.93
Food and food products,3,2010,16.48,7.95,1.14,62.5,11.93
Food and food products,4,2010,14.69,7.91,0.56,55.93,20.34
Food and food products,1,2011,14.36,5.94,0.5,58.91,20.3
Food and food products,2,2011,16.02,8.84,1.66,58.01,15.47
Food and food products,3,2011,16.87,10.24,1.2,57.83,13.86
Food and food products,4,2011,17.53,7.79,1.95,57.79,14.94
Food and food products,1,2012,12.77,7.98,0.53,57.98,21.28
Food and food products,2,2012,16.25,10.0,0.62,60.62,12.5
Food and food products,3,2012,18.29,8.0,1.14,57.14,16.0
Food and food products,4,2012,21.85,7.95,1.32,55.63,13.25
Food and food products,1,2013,11.06,7.52,0.88,47.35,33.19
Food and food products,2,2013,14.79,8.88,1.18,58.58,16.57
Food and food products,3,2013,14.38,8.22,1.37,66.44,9.59
Food and food products,4,2013,12.8,7.93,1.22,54.88,23.17
Food and food products,1,2014,12.24,9.69,2.04,59.18,16.84
Food and food products,2,2014,11.5,6.5,1.0,58.0,23.5
Food and food products,3,2014,16.47,7.06,0.59,58.82,17.65
Food and food products,4,2014,13.94,9.7,0.61,60.61,15.76
Food and food products,1,2015,9.34,7.69,1.1,58.79,23.08
Food and food products,2,2015,9.7,7.88,0.61,63.64,18.18
Food and food products,3,2015,10.19,7.01,0.64,64.97,17.2
Food and food products,4,2015,9.66,5.68,0.57,56.25,27.84
Food and food products,1,2016,11.93,6.25,1.14,57.95,22.16
Food and food products,2,2016,9.66,6.82,0.57,53.41,28.98
Food and food products,3,2016,11.32,6.29,1.26,57.86,22.64
Food and food products,4,2016,10.43,7.98,1.23,54.6,25.77
Food and food products,1,2017,10.93,6.56,1.09,56.83,24.59
Food and food products,2,2017,10.47,5.81,1.16,62.79,20.35
Food and food products,3,2017,13.53,7.06,1.18,61.18,17.06
Food and food products,4,2017,10.0,7.5,3.12,63.12,16.88
Food and food products,1,2018,8.56,6.95,1.6,59.36,24.06
Food and food products,2,2018,10.64,5.85,2.13,59.57,22.34
Food and food products,3,2018,9.63,6.95,1.6,61.5,20.32
Food and food products,4,2018,8.75,5.62,1.88,59.38,24.38
Food and food products,1,2019,6.99,5.91,1.61,56.99,28.49
Food and food products,2,2019,10.87,6.52,1.09,58.15,23.37
Food and food products,3,2019,10.11,6.18,1.69,58.43,23.6
Food and food products,4,2019,14.11,6.75,1.23,55.83,22.09
Food and food products,1,2020,5.46,3.75,0.68,34.13,55.97
Food and food products,2,2020,6.7,5.26,0.48,61.72,25.84
Food and food products,3,2020,12.18,3.05,0.51,62.44,21.32
Food and food products,4,2020,12.5,5.36,1.19,58.93,22.62
Food and food products,1,2021,5.33,2.33,1.0,34.67,57.0
Food and food products,2,2021,8.52,3.98,0.57,56.82,30.11
Food and food products,3,2021,17.34,5.2,0.58,54.91,21.39
Food and food products,4,2021,16.39,5.46,1.09,53.55,24.04
Beverages,4,2003,3.69,2.95,0.37,73.06,19.93
Beverages,1,2004,1.35,1.35,0.67,78.11,18.52
Beverages,2,2004,0.37,0.74,0.37,83.09,15.44
Beverages,3,2004,6.55,0.44,0.44,85.15,7.42
Beverages,4,2004,7.0,0.5,0.0,84.5,8.0
Beverages,1,2005,0.42,1.26,0.0,82.01,16.32
Beverages,2,2005,0.44,1.33,0.0,76.44,21.78
Beverages,3,2005,4.81,2.4,1.44,84.62,6.73
